airline,name,shortName,callSign,country,airlineUrl,phone
GCA|Great China Airlines|Great China Airlines|Great China|||
GCB|Lignes Nationales Aeriennes - Linacongo|Lignes Nationales Aeriennes - Linacongo|Linacongo|||
GCC|General Electric Capital Aviation Services|General Electric Capital Aviation Services|Gecas|||
GCF|Aeronor|Aeronor|Aerocarto|||
GCK|Glock Aviation GmbH|Glock Aviation|Glock|Austria||
GCL|Greenclose Aviation Services Ltd|Greenclose Aviation Services Ltd|Greenclose|||
GCM|Comair Flight Services (Pty) Ltd|Comair Flight Services|Globecom|South Africa||
GCN|Gulf Central Airlines Inc.|Gulf Central Airlines|Gulf Central|||
GCO|Gemini Air Cargo, Llc|Gemini Air Cargo, Llc|Gemini|||
GCP|Dac Air S.A.|Dac Air|Dac Flight|||
GCR|Tianjin Airlines||Bohai|China||
GCS|Skyway Airlines|Skyway Costa Rica|Sky Tec|Costa Rica||
GCT|G C Aviation|GC Aviation|Gulf Coast|United States|http://www.gcahou.com/|
GCV|G-1 RT|G-1 RT|Gee-Bird|||
GDA|Gold Air International Limited|Gold Air International|Goldair|United Kingdom||
GDB|Gendarmerie Belge|Gendarmerie Belge|Belgian Gendarmerie|||
GDC|Grand China Air|||||
GDD|Golden Airlines, Inc.|Golden|Golden Airlines|||
GDE|Great Dane Airlines|Great Dane Airlines|GREAT DANE|Denmark|https://greatdaneairlines.dk/|+45 72 20 66 00
GDG|S. P. Aviation|S. P. Aviation|Golden Gate|||
GDH|Guneydogu Havacilik Isletmesi Ltd Std|Guneydogu Havacilik Isletmesi Ltd Std|Rising Sun|||
GDK|Goldeck-Flug GesmbH|Goldeck-Flug|Goldeck Flug|Austria||
GDM|Eas Aeroservizi|Eas Aeroservizi|Aeroservizi|||
GDR|Gvg Airlines Company|Gvg|Valiko|||
GDS|Steelman Aviation||Goldstrike|United States|http://www.steelmanaviation.com/|
GEA|Guinea Ecuatorial Airlines, S. A.|Guinea Ecuatorial Airlines|Geasa|||
GEC|Lufthansa Cargo Ag|Lufthansa Cargo|Lufthansa Cargo|||
GEE|Geeseair|Geeseair|Geeseair|||
GEF|Air Gefco|Air Gefco|Air Gefco|||
GEG|Georgian Airlines|Georgian Airlines|Demuri|||
GEL|Airline Geo Sky LLC|Airline GeoSky|Sky Georgia|Georgia||
GEO|Air Georgia|Air Georgia|Air Georgia|||
GER|Eagle Aviation (Deutschland)|Eagle Aviation|GERMAN EAGLE|Germany|http://www.eagle-aviation.de/|
GES|Gestair Executive Jet|Gestair|Gestair|Spain||
GEY|Geyserland Airways Ltd|Geyserland Airways Ltd|Geyser|||
GFA|Gulf Air|Gulf Air|Gulf Air||http://www.gulfairco.com/|+1-888-359-4853
GFC|Gail Force Express|Gail Force Express|Gail Force|United States||
GFD|Gesellschaft Fur Flugzieldarstellung Mbh, Hohn|Gesellschaft Fur Flugzieldarstellung Mbh, Hohn|Kite|||
GFL|Green Forest Lumber Ltd.|Green Forest Lumber Ltd.|Green Forest|||
GFM|Grafair Flight Management AB|Grafair|Parrot|Sweden||
GFN|The 955 Preservation Group|The 955 Preservation Group|Griffon|||
GFS|Gulfstream Airlines, Inc.|Gulfstream|Gulfstar|||
GGA|First Flying Squadron, Inc.|First Flying Squadron|Jawja|||
GGC|Cargo 360|Cargo 360|Long Haul|United States||
GGL|Gira Globo Lda.|Gira Globo|Gira Globo|||
GGN|Air Georgian|Air Georgian|Georgian|Canada||
GGT|Trans Island Airways Ltd.|Trans Island Airways|Thunderball|Bahamas||
GGW|Heli Training Vallee|Heli Training Vallee|Helivallee|||
GHA|Group Holdings Aviation|Group Holdings Aviation|Sutter|United States||
GHK|Vintage Wings of Canada||GOLDEN HAWK|Canada|http://www.vintagewings.ca/|
GHL|Gatwick Handling Ltd.|Gatwick Handling Ltd.|Handling|||
GHN|Air Ghana|Air Ghana|Air Ghana|Ghana||
GHP|Colvin Aviation, Inc.|Colvin Aviation|Grasshopper Ex|||
GHS|Gatari Hutama Air Services, Pt.|Gatari Hutama Air Services, Pt.|Gatari|||
GHV|Ground Handling Service de Mexico|Ground Handling Service de Mexico|Ground Handling|||
GIA|Garuda Indonesia, P.t.|Garuda Indonesia|Indonesia|Indonesia|http://www.garuda-indonesia.com/|+1-800-342-7832
GIB|Air Guinee|Air Guinee|Air Guinee|||
GIC|Compagnie de Bauxites de Guinee|Compagnie de Bauxites de Guinee|Cebege|||
GID|Sud Air Transport, S.A.|Sud Air Transport|Sud Transport|||
GIE|Guinee Inter Air|Guinee Inter Air|Guinee Inter|||
GIF|Eagle Air Guinee, S.A.||EAGLEAIR GUINEE|Guinea||
GIH|Union Des Transports Africains de Guinee|Union Des Transports Africains de Guinee|Transport Africain|||
GIL|Gill Aviation Ltd|Gill Aviation|Gillair|||
GIN|Association de Recherche Et D'exploitation de Diamant Et de L'or|Association de Recherche Et D'exploitation de Diamant Et de L'or|Aredor|||
GIR|Guinee Air Union S.A.|Guinee Air Union|Guinee Union|||
GIS|Air Gisborne Ltd|Air Gisborne|Gismed|New Zealand||
GIT|Societe Des Transports Aeriens de Guinee Sarl|Societe Des Transports Aeriens de Guinee Sarl|Sotag|||
GIU|Union Guineene de Transports|Union Guineene de Transports|Union Guinee|||
GIV|Grivco International Ltd|Grivco International Ltd|Grivco|||
GJB|Trans-Air-Link Co.|Trans-Air-Link|Sky Truck|||
GJD|Channel Aviation Ltd|Channel Aviation Ltd|Sarnair|||
GJE|Global Jet Charters|Global Jet|Global Jets|United States||
GJI|Gainjet Ireland Ltd.|GainJet Ireland|Gainstar|Ireland||
GJS|GoJet Airlines|GoJet|Lindbergh|United States|http://www.gojetairlines.com/|
GJT|GetJet Airlines|GetJet|GetJet|Lithuania||
GKA|U S Army Parachute Team|U S Army Parachute Team|Golden Knights|||
GLA|Great Lakes Aviation Ltd|Great Lakes Aviation Ltd|Lakes Air|United States|http://www.greatlakesav.com/|+1-800-554-5111
GLD|Golden Star Air Cargo Co. Ltd|Golden Star Air Cargo|Golden Star|||
GLF|Gulfstream Aerospace|Gulfstream Aerospace|Gulfstream Test|||
GLG|Aerogal Aerolineas Galapagos|Aerogal Aerolineas Galapagos||||
GLI|Gallic Aviation|Gallic Aviation|Gallic|||
GLJ|Global Jet Austria|||Austria||
GLO|Gol Transportes Aereos||GOL|Brazil|http://www.voegol.com.br/|
GLP|Globus||GLOBUS|Russian Federation||
GLQ|El Quilada International Aviation Co. Ltd|El Quilada International Aviation Co. Ltd|Quilada|||
GLR|Central Mountain Air Ltd|Central Mountain|Glacier|Canada||
GLT|Aero Charter Inc|Aero Charter|Gaslight|||
GLV|Global Avanti|Global Avanti|Avanti|Venezuela||
GMA|Gama Aviation Ltd|Gama Aviation Ltd|Gama|United Kingdom||
GMB|Beriev Aviation Scientific Technical Complex, Joint Stock Company|Beriev Aviation Scientific Technical Complex|Beriev-Air|||
GMC|General Motors Corporation|General Motors|General Motors|United States||
GMD|Guruge Airlines Ltd|Guruge|Guruge Air|||
GMH|Hughes Aircraft Company|Hughes Aircraft Company|Hughes Express|||
GMI|Germania Fluggesellschaft Koln|Germania Fluggesellschaft Koln|Germania|Germany|http://www.flygermania.de/|
GML|G & L Aviation|G & L Aviation|Geeandel|||
GMN|Garmin International|Garmin|Garmin|||
GMR|Golden Myanmar Airlines|Golden Myanmar|GOLDEN MYANMAR|Myanmar|http://www.gmairlines.com/|
GMT|Grupoaereo Monterrey, S.A. de C.V.|Grupoaereo Monterrey de C.V.|Grupomonterrey|||
GNA|Servicios Aereos Gana, S.A. de C.V.|Servicios Aereos Gana de C.V.|Servigana|||
GND|Grand Airways, Inc.|Grand|Grand Vegas|||
GNF|Gandalf|Gandalf|Gandalf|||
GNI|Gemini|Gemini|Zodiac|||
GNJ|Gain Jet Aviation|||Greece||
GNR|Gambia International Airlines Ltd|Gambia International  Ltd|Gambia International|||
GNS|Eastern Executive Air Charter Ltd|Eastern Executive Air Charter|Genesis|||
GNY|German Navy|German Navy|German Navy|Germany||
GOA|Alberta Government|Alberta Government|Alberta|Canada||
GOE|Go Fly Limited|Go Fly Limited|Go-flight|United Kingdom||
GOF|Gof-Air, S.A. de C.V.|Gof-Air|Gof-Air|||
GOG|Mframa Airlines Limited|Mframa  Limited|Goldways|||
GOI|Gofir S.A.|Gofir S.A.|Swiss Hawk|||
GOJ|Eurojet Aviation Ltd|Eurojet Aviation Ltd|Gojet|||
GOM|Gomel Airlines|Gomel|Gomel|||
GON|Gonini Air Services Ltd.|Gonini Air|Gonini|||
GOT|Waltair I Linkoping AB|Waltair|Gothic|Sweden||
GOW|GoAir||Go Air|India||
GPA|Kingman Aviation, Inc. D/B/A Golden Pacific Airlines|Kingman Aviation|Gold Pac|||
GPD|Tradewind Aviation|Tradewind|Goodspeed|United States||
GPE|Gp Express Airlines, Inc.|Gp Express|Regional Express|||
GPH|Sterling Helicopters Ltd|Sterling Helicopters Ltd|Silverline|||
GPL|Dlr Deutsche Forschungsanstalt Fur Luft Und Raumfahrt, Braunschweig|Dlr Deutsche Forschungsanstalt Fur Luft Und Raumfahrt, Braunschweig|German Polar|||
GPS|Abs Avia|Abs Avia|Alatau|||
GRA|Great American Airways|Great American Airways|Great American|||
GRC|Grace Flight|||||
GRD|National Grid Co|National Grid Co|Grid|||
GRF|Aerogryf Ltd|Aerogryf|Aerogryf|||
GRL|Gronlandsfly Ltd.|Air Greenland|Greenland|Greenland||
GRN|Grande Aviation|Grande Aviation|Grande|United States|https://grandeaviation.com|865-238-4500
GRP|Ozark Airlines D/B/A Great Plains Airlines|Ozark Airlines|Great Plains|||
GRR|Agroar-trabalhos Aeros Lda.|Agroar-trabalhos Aeros|Agroar|Portugal||
GRV|Epsilon Aviation SA|Epsilon Aviation|Epsilon|Greece||
GRY|New York State Police|New York State Police|Gray Rider|United States||
GSA|Garden State Airlines, Inc.|Garden State|Garden State|||
GSB|Gading Sari Aviation Services|Gading Sari|GADING SARI|Malaysia||
GSE|Saga, S.A.|Saga|Saga|||
GSH|Gama Aviation FZC|Gama Aviation|Gamamena|United Arab Emirates||
GSJ|G-JET|G-JET|Grossjet|Czech Republic||
GSK|Global Sky Air Charter Corp.|Global Sky Air Charter Corp.|Global Sky|||
GSL|Geographic Air Surveys Ltd.|Geographic Air Surveys|Survey-canada|Canada||
GSP|Airlift Alaska|Airlift Alaska|Green Speed|United States||
GST|Global SuperTanker||Supertank|||
GSW|Chair Arlines AG|Chair Arlines|Eiger|Switzerland||
GTA|Gt Aviation|Gt Aviation|Geetee Avia|||
GTF|ELJ Aviation||Gator Flight|United States||
GTH|Meridian Air Charter|Meridian Air Charter|Gotham||http://www.meridian.aero/|2012885459
GTI|Atlas Air, Inc.|Atlas Air|GIANT|United States||
GTM|Grupo Turistico Magno, S.A. de C.V.|Grupo Turistico Magno de C.V.|Magno|||
GTR|Galistair Trading Limited|Galistair|Galistair|Malta||
GTS|Groupe Transair|Groupe Transair|Transgroup|Senegal||
GTV|Empresa de Aviacion Aerogaviota, S.A.|Empresa de Aviacion Aerogaviota|Gaviota|||
GTW|American Air Charter, Inc||Gateway|United States||
GTX|GTA Air|GTA Air|Big Dee|United States||
GUA|Aerotaxis de Aguascalientes, S.A. de C.V.|Aerotaxis de Aguascalientes de C.V.|Aguascalientes|||
GUG|Aviateca||Aviateca|Guatemala||
GUJ|Gujarat Airways|Gujarat Airways|Gujaratair|||
GUL|Gull Air|Gull Air|Gull-Air|||
GUM|Gum Air|Gum Air|Gum Air|Suriname||
GUN|Grant Aviation|Grant Aviation||United States|http://www.flygrant.com/|+1-888-359-4726
GUY|Air Guyane Express|Air Guyane|Air Guyane||http://www.airguyane.com/|
GVB|An-2|An-2|Temo|||
GVG|Flygaktiebolaget Gota Vingar|Flygaktiebolaget Gota Vingar|Bluecraft|||
GWA|Great Western Air, Inc.|Great Western Air|G-W Air|||
GWC|Gulf Wings|Gulf Wings|Gulf Wings|United Arab Emirates||
GWI|Germanwings||Germanwings|Germany||
GWR|Aura Airlines|Gowair Vacation Airlines|Lemon|Spain||
GWY|USA 3000 Airlines|USA 3000 Airlines|Getaway|United States|http://www.usa3000.com/|+1-877-872-3000
GXA|Gulf Express Aviation B.s.c.|Gulf Express Aviation|Gulf Express|||
GXY|Galaxy Airways Limited|Galaxy|Gazelle|||
GYA|Guyana Airways Corporation|Guyana Airways|Guyair|||
GYP|Eagle Aviation|Eagle Aviation|Gypsy|||
GZA|Grenzland Air Service, Stadtlohn|Grenzland Air Service, Stadtlohn|Grenzland|||
GZP|Gazpromavia|Gazpromavia|Gazprom|Russian Federation||
GZQ|Zagrosjet|Zagrosjet|Zagrosjet|||
HAB|AirSprint US, Inc.|AirSprint||United States|http://www.airsprint.com/|
HAF|Hellenic Air Force|Hellenic Air Force|Hellenic Air Force|||
HAG|Hageland Aviation Services, Inc.|Hageland Aviation Services|Hageland|United States||
HAI|Hai Au Aviation Joint Stock Company|Hai Au Aviation||Vietnam||
HAJ|Hajvairy Airlines|Hajvairy|Hajvairy|||
HAK|Harka Air Services Nig. Ltd.|Harka Air Services Nig. Ltd.|Harkair Services|||
HAL|Hawaiian Airlines|Hawaiian Airlines|Hawaiian|United States|http://www.hawaiianair.com/|+1-800-367-5320
HAR|Harbor Airlines|Harbor Airlines|Harbor|United States||
HAS|Hamburg Airlines, GMBH And Co. Hamburg 63|Hamburg Airlines|Hamburg Air|||
HAT|Air Horizont|Air Horizont|Skyrunner|Malta||
HAV|Havilah Air Services|Havilah Air Services|Havilah|||
HAW|Hawkair|Hawkair|Cambridge|||
HAX|Hangar 5 Air Services Norway A/s|Hangar 5 Air Services Norway A/s|Scoop|||
HBA|Trail Lake Flying Service, Inc. D/B/A Harbor Air|Trail Lake Flying Service D/B/A Harbor Air|Harbor Air|||
HBAL|Project Loon|||United States|https://x.company/loon/|
HBC|Haitian Aviation Line S.A.|Haitian Aviation Line S.A.|Halisa|||
HBH|Hebei Airlines||Hebei Air|||
HBN|Hibernian Airlines|Hibernian Airlines|Finch|Ireland||
HBR|Hebridean Air Services|Hebridean Air Services|Hebridean|United Kingdom||
HBT|Polizeihubschrauberstaffel Thuringen, Erfurt|Polizeihubschrauberstaffel Thuringen, Erfurt|Habicht|||
HCA|Lake Havasu Air Service|Lake Havasu Air Service|Havasu|||
HCB|Helenair|Helenair|Helen|||
HCC|Helbey Air Cargo|Helbey Air Cargo|Helbey|||
HCH|Hellis Avia Charter|Hellis Avia Charter|Hellisavia|||
HCL|Helenair Corporation Limited|Helenair|Helencorp|||
HCN|Naske Air H&c, Magdeburg|Naske Air H&c, Magdeburg|Naske Air|||
HCO|Harco Air Services|Harco|Harco Air|||
HCP|Helicopter|Helicopter|Heli Czech|||
HCR|LifeFlight GmbH & Co. KG, Koeln|LifeFlight|Helicraft|Germany||
HDA|Dragonair/Hong Kong Dragon Airlines|Cathay Dragon|DRAGON|China|https://www.cathaypacific.com/cx/en_US.html|+1-800-233-2742
HDI|Hoteles Dinamicos, S.A. de C.V.|Hoteles Dinamicos de C.V.|Dinamicos|||
HDM|Harley-Davison Motor Company|Harley-Davison|Hog|United States||
HEA|Heliavia-Transporte Aereo, Lda|Heliavia-Transporte Aereo, Lda|Heliavia|||
HEB|Heli Bernina AG|Heli Bernina|Helibernina|||
HEC|Heliservicio Campeche, S.A. de C.V.|Heliservicio Campeche de C.V.|Helicampeche|||
HED|Heritage Aviation Developments Ltd|Heritage Aviation Developments Ltd|Flapjack|||
HEE|Heli Europe|Heli Europe|Heli-Europe|||
HEL|Helicol. Helicopteros Nacionales de Colombia|Helicol. Helicopteros Nacionales de Colombia|Helicol|||
HEP|Heliopolis Airline|Heliopolis Airline|Heliopolis|||
HES|Holiday Europe Ltd.|Holiday Europe|Holiday Europe|Bulgaria||
HET|Taf Helicopters S.A.|Taf Helicopters|Helitaf|||
HEX|Honiara Cargo Express|Honiara Cargo Express|Honiara Cargo|||
HFD|Hatfield Bae|Hatfield Bae|Tibbet|||
HFJ|Shenzhen United Business Jet Co., Ltd.|Shenzhen United Business Jet|Pangu|China||
HFL|Heliflyg AB|Heliflyg AB|Heliflyg|||
HFM|Hi Fly Ltd.|Hi Fly Malta|Moonraker|Malta||
HFY|Hi Fly||SKY FLYER|||
HGA|Hogan Air|Hogan Air|Hogan Air|||
HGD|Hangard Aviation Ltd.|Hangard|Hangard|||
HGE|Martin's Famous Pastry Shoppe||Hoagie|||
HGG|Hi Air|Hi Air|Hi Air|South Korea|http://www.hiairlines.co.kr|+82 02 2661 0030
HGK|Fika Salaama Airlines Ltd|Fika Salaama|Salaama|||
HGR|Hangar 8|||United Kingdom||
HGT|GMJ Air Shuttle||HIGHTECH|United States|http://www.gmjshuttle.com/|
HHA|Atlantic Airlines de Honduas|||||
HHE|Heli-Holland B.v.|Heli-Holland|Heli Holland|||
HHG|Hanergy Jet Co., Ltd.|Hanergy Jet|Hanergy Jet|China||
HHH|Helicsa|Helicsa|Helicsa|||
HHK|Sky Shuttle Helicopters Limited|Sky Shuttle Helicopters||China||
HHN|Hahn Air GMBH & Co. Kg., Lautzenhausen|Hahn Air|Rooster|Germany||
HHO|Houston Helicopters, Inc|Houston Helicopters|Houston Heli|||
HIA|Canadian Eagle Aviation Ltd.|Canadian Eagle Aviation|Haida|Canada||
HIB|Helibravo Aviacao, Lda.|Helibravo Aviacao|Helibravo|||
HIG|Heli-Inter Guyane|Heli-Inter Guyane|Inter Guyane|||
HIK|Hikurangi Airlines|Hikurangi Airlines|Hikurangi|||
HIL|Highland Air AB|Highland Air|Highland|||
HIM|Himalaya Airlines||HIMALAYA|Nepal|http://www.himalaya-airlines.com/|
HIN|Heli Inter|Heli Inter|Heli Inter|||
HIS|Hispaniola Airways|Hispaniola|Hispaniola|||
HIT|Helitalia S.p.a.|Helitalia|Helitalia|||
HJA|Air Haiti|Air Haiti|Airhaiti|||
HJC|Heathrow Jet Charter Ltd|Heathrow Jet Charter|Rhinoair|||
HJL|Hamlin Jet Ltd|Hamlin Jet|Bizjet|||
HJS|Helijet|Helijet|Mapi|||
HKA|Superior Aviation, Inc.|Superior|Spend Air|United States||
HKB|Hawker Beechcraft Corporation|Hawker Beechcraft|Classic|United States||
HKC|Hong Kong Air Cargo|Hong Kong Air Cargo|Mascot|Hong Kong||
HKE|Hong Kong Express Airways||HONGKONG SHUTTLE|China||
HKH|Air-Invest Ltd.|Air-Invest|Hawkhungary|Hungary||
HKI|Wachovia Flight Operations D/B/A Hawkaire|Wachovia Flight Operations D/B/A Hawkaire|Hawkeye|||
HKN|Jim Hankins Air Service, Inc.|Jim Hankins Air Service|Hankins|||
HKR|Tower Aviation Management LLC|A2V|Data Bird|United States||
HKS|CHC Helikopter Service|CHC Helikopter Service|Helibus|Norway|http://www.chc.ca|
HLB|High-Line Airways Inc.|High-Line|High-Line|||
HLC|Helicap|Helicap|Helicap|||
HLE|First Air|First Air|Helimed|||
HLG|Helog AG, Helikoptertransporte|Helog AG, Helikoptertransporte|Helog|||
HLI|Heli Securite Helicopter Airlines|Heli Securite Helicopter||France||
HLK|Heli-Link|Heli-Link|Heli-Link|||
HLL|Eliliguria|Eliliguria|Eliliguria|||
HLM|Northland Emergency Services Trust Ltd|Northland Emergency Services|Helimed|New Zealand||
HLN|Air Holland Leasing Iii B.v.|Air Holland Leasing Iii B.v.|Orange|||
HLO|Samaritan Air Service Ltd.|Samaritan Air Service|Halo|Canada||
HLP|Helipistas S.l.|Helipistas S.l.|Helipistas|||
HLQ|Harlequin Air Corporation|Harlequin Air|Harlequin|||
HLR|Heli Air Services|Heli Air Services|Heli Bulgaria|||
HLU|Heli Union Heli Prestations|Heli Union Heli Prestations|Heli Union|||
HLV|Heliserv, S.A. de C.V.|Heliserv de C.V.|Heliserv|||
HMA|Air Tahoma Inc|Air Tahoma|Tahoma|||
HMD|Charlie Hammonds Flying Service, Inc.|Charlie Hammonds Flying Service|Hammond|||
HMF|Norrlandsflyg AB|Norrlandsflyg AB|Lifeguard Sweden|||
HMJ|As Ailes Limited|Harmony Jets|Harmony Jets|Malta||
HMP|Papair Terminal S.A.|Papair Terminal S.A.|Papair Terminal|||
HMR|North American Charters|North American Charters|Hammer|Canada||
HMT|Air Nova|Air Nova|Hamilton|||
HMY|Hmy Airways Inc.|Hmy|Harmony|Canada|http://www.harmonyairways.com/|+1-866-868-6789
HMZ|Nigerian International Air Services Limited|Nigerian International Air Services Limited|Hamzair|Nigeria||
HNA|Greek Navy|Greek Navy|Hellenic Navy|||
HND|Hinterland Aviation PTY LTD|Hinterland Aviation|Hinterland|Australia||
HNL|CHC Helicopters Netherlands|CHC Helicopters|Maple Leaf|Netherlands||
HNR|Haiti National Airlines|Haiti National|Hanair|||
HNT|Helicopteros Internacionales, S.A. de C.V.|Helicopteros Internacionales de C.V.|Helicop Inter|||
HNW|Honeywell International, Inc.|Honeywell|Honeywell|United States||
HNX|Hainan Aviation Academy Co. Ltd.|Hainan Aviation Academy|Superb|China||
HOG|Mahogany Air|Mahogany Air||Zambia||
HOL|Holiday Airlines, Inc.|Holiday Airlines|Holiday|||
HON|Honda Aircraft||Honda Test|||
HOP|Socit HOP!|HOP!|Air Op|||
HOR|Horizon Air-Taxi Ltd|Horizon Air-Taxi Ltd|Horizon|||
HOZ|Horizontes Aereos, S.A. de C.V.|Horizontes Aereos de C.V.|Horizontes Aereos|||
HPA|Pearl Airways Compagne Haitienne|Pearl Airways|Pearl Airways|||
HPJ|Hop-a-Jet|Hop-a-Jet|Hopa-Jet|United States|http://hopajetworldwide.com/|954-771-5779
HPK|Hopscotch Air, Inc.|Hopscotch Air|Hopscotch Air|United States||
HPL|Heliportugal - Trabalhos E Transporte Aereo, Representacoes, Importacao E Exportacao, Lda|Heliportugal - Trabalhos E Transporte Aereo, Representacoes, Importacao E Exportacao, Lda|Heliportugal|||
HPN|Linear Air|Linear Air|Harpoon|United States||
HPR|Rick Lucus Helicopters Ltd|Rick Lucus Helicopters Ltd|Helipro|||
HQA|Quick Air-Trans Ltd|Quick Air-Trans Ltd|Willy Trans|||
HRA|Heli-Iberica, S.A.|Heli-Iberica|Erica|||
HRB|Haiti International Airline|||||
HRC|Harco Aviation, LLC||Harco||http://www.harcoaviation.com|
HRF|Veterans Airlift Command|Veterans Airlift Command|Hero Flight|United States||
HRN|Airwork Ltd|Airwork|Clansman|||
HRS|Pursuit Aviation||Horseman|||
HRT|Chartright Air Inc.|Chartright Air|Chartright|Canada||
HSB|Szer-Bon RT|Szer-Bon RT|Sarbon|||
HSE|Compania Helicopteros Del Sureste, S.A.|Compania Helicopteros Del Sureste|Helisureste|||
HSF|Hanseo University|Hanseo University|Han-Seo Flight|South Korea||
HSI|Heliswiss, Schweizerische Helikopter AG|Heliswiss, Schweizerische Helikopter AG|Heliswiss|||
HSK|Sky Europe Airlines|Sky Europe||Hungary||
HSL|Hispania Lineas Aereas, S.l.|Hispania Lineas Aereas, S.l.|Hispania|||
HSM|Helicopter Service Mitte, Egelsbach|Helicopter Service Mitte, Egelsbach|Lifestar|||
HSN|Southern Air Ltd|Southern Air Ltd|Heli Southern|||
HSO|Compania Helicopteros de Transporte, S.A.|Compania Helicopteros de Transporte|Heliasturias|||
HSR|Citylink Airlines, Inc.|Citylink|Hoosier|||
HSS|Compania Transportes Aereos Del Sur, S.A.|Compania Transportes Aereos Del Sur|Tas Helicopteros|||
HSU|Helisul|Helisul|Helis|||
HSV|Heliservico - Sociedade Portuguesa de Exploracao de Meios Aereos, Lda.|Heliservico - Sociedade Portuguesa de Exploracao de Meios Aereos, Lda.|Helimasa|||
HSW|Aerocombi, S.A.|Aerocombi|Iberswiss|||
HSY|Sky Helicopteros SA|Sky Helicopteros|Helisky|Spain||
HTA|Heli-Trans AS|Heli-Trans AS|Scanbird|||
HTC|Haiti Trans Air S.A.|Haiti Trans Air S.A.|Haiti Transair|||
HTE|Midwest Helicopters de Mexico, S.A. de C.V.|Midwest Helicopters de Mexico de C.V.|Helicoptersmexico|||
HTI|Haiti International Air S.A.|Haiti International Air S.A.|Haiti International|||
HTM|Helicopter Travel|||Germany||
HTR|Holstenair Lubeck, Luftverkehrsservice GMBH & Co. Betriebs-Kg, Lubeck|Holstenair Lubeck, Luftverkehrsservice|Holsten|||
HTS|Helitrans Air Service, Inc.|Helitrans Air Service|Helitrans|||
